ortho,phon,syll
enclenchait,@kl@SE,@-kl@-SE
verseur,vERs9R,vER-s9R
déménageur,demenaZ9R,de-me-na-Z9R
corrompue,koR§py,ko-R§-py
fadent,fad,fad
dessinais,desinE,de-si-nE
contraignent,k§tREN,k§-tREN
abattus,abaty,a-ba-ty
impartie,5paRti,5-paR-ti
freinais,fREnE,fRE-nE
orchestré,ORkEstRe,OR-kEs-tRe
cheveux,S°v2,S°-v2
pédants,ped@,pe-d@
faxes,faks,faks
loupiote,lupjOt,lu-pjOt
nommiez,nomje,no-mje
environnées,@viRone,@-vi-Ro-ne
abstiendrait,apstj5dRE,ap-stj5-dRE
étymologiquement,etimoloZik°m@,e-ti-mo-lo-Zi-k°-m@
adoptée,adOpte,a-dOp-te
komsomol,kOmsomOl,kOm-so-mOl
soi-même,swamEm,swa-mEm
insonorisés,5sonoRize,5-so-no-Ri-ze
accrocherai,akROS°RE,a-kRO-S°-RE
traceuse,tRas2z,tRa-s2z
klaxon,klaks§,klak-s§
lorgnais,lORNE,lOR-NE
rageant,RaZ@,Ra-Z@
shootons,Sut§,Su-t§
distrayons,distREj§,dis-tRE-j§
exigus,Egzigy,Eg-zi-gy
grammage,gRamaZ,gRa-maZ
tout,tu,tu
singe,s5Z,s5Z
jacinthes,Zas5t,Za-s5t
ganymèdes,ganimEd,ga-ni-mEd
cautérisées,koteRize,ko-te-Ri-ze
mordue,mORdy,mOR-dy
sudoripare,sydoRipaR,sy-do-Ri-paR
déshonorerais,dezonOR°RE,de-zo-nO-R°-RE
peinturlures,p5tyRlyR,p5-tyR-lyR
courtaudes,kuRtod,kuR-tod
affectée,afEkte,a-fEk-te
regagner,R°gaNe,R°-ga-Ne
nonagénaire,nonaZenER,no-na-Ze-nER
pieds,pje,pje
éliminateurs,eliminat9R,e-li-mi-na-t9R
gamins,gam5,ga-m5
abrutira,abRytiRa,a-bRy-ti-Ra
passionnelle,pasjonEl,pa-sjo-nEl
présentatrices,pRez@tatRis,pRe-z@-ta-tRis
étudierions,etydiRj§,e-ty-di-Rj§
anthropomorphe,@tRopomORf,@-tRo-po-mORf
fortifiée,fORtifje,fOR-ti-fje
intuitif,5t8itif,5-t8i-tif
émerveillées,emERveje,e-mER-ve-je
enveloppa,@v°lopa,@-v°-lo-pa
ténébreuse,tenebR2z,te-ne-bR2z
soutinrent,sut5R,su-t5R
effleurais,efl9RE,e-fl9-RE
broder,bRode,bRo-de
enchevêtrent,@S°vEtR,@-S°-vEtR
divulgation,divylgasj§,di-vyl-ga-sj§
pallient,pali,pa-li
serrer,seRe,se-Re
cynocéphales,sinosefal,si-no-se-fal
chinoiserie,Sinwaz°Ri,Si-nwa-z°-Ri
déversés,devERse,de-vER-se
pâtissons,patis§,pa-ti-s§
puritains,pyRit5,py-Ri-t5
aromatiser,aRomatize,a-Ro-ma-ti-ze
dévastation,devastasj§,de-vas-ta-sj§
contre-ordres,k§tRORdR,k§-tRORdR
archétypes,aRketip,aR-ke-tip
perco,pERko,pER-ko
saintement,s5t°m@,s5-t°-m@
nay,nE,nE
assourdissants,asuRdis@,a-suR-di-s@
rongés,R§Ze,R§-Ze
chanson,S@s§,S@-s§
diaconie,djakoni,dja-ko-ni
revolvers,RevOlvER,Re-vOl-vER
refluaient,R°flyE,R°-fly-E
attifait,atifE,a-ti-fE
préconisés,pRekonize,pRe-ko-ni-ze
tout-petits,tup°ti,tu-p°-ti
défoncements,def§s°m@,de-f§-s°-m@
grimpais,gR5pE,gR5-pE
accolait,akolE,a-ko-lE
formatrices,fORmatRis,fOR-ma-tRis
transmettras,tR@smEtRa,tR@s-mE-tRa
dépendait,dep@dE,de-p@-dE
vérifier,veRifje,ve-Ri-fje
mobilisent,mobiliz,mo-bi-liz
hulotte,ylOt,y-lOt
inchangées,5S@Ze,5-S@-Ze
ossuaire,os8ER,o-s8ER
sigillé,siZile,si-Zi-le
dépassez,depase,de-pa-se
divertissaient,divERtisE,di-vER-ti-sE
préférèrent,pRefeRER,pRe-fe-RER
clampé,kl@pe,kl@-pe
chiures,SjyR,SjyR
experts,EkspER,Ek-spER
légitiment,leZitim,le-Zi-tim
lauriers,loRje,lo-Rje
lacéra,laseRa,la-se-Ra
prostatite,pROstatit,pROs-ta-tit
retraçais,R°tRasE,R°-tRa-sE
layer,leje,le-je
perdus,pERdy,pER-dy
transitaient,tR@zitE,tR@-zi-tE
paye,pEj,pEj
banane,banan,ba-nan
auvergnats,ovERNa,o-vER-Na
courts,kuR,kuR
frusques,fRysk,fRysk
veut,v2,v2
requalifier,R2kalifje,R2-ka-li-fje
vice-recteur,visREkt9R,vi-sREk-t9R
financements,fin@s°m@,fi-n@-s°-m@
téléphoniquement,telefonik°m@,te-le-fo-ni-k°-m@
booms,bum,bum
tonitruant,tonitRy@,to-ni-tRy-@
anticléricales,@tikleRikal,@-ti-kle-Ri-kal
conspuaient,k§sp8E,k§s-p8E
rapides,Rapid,Ra-pid
seront,s°R§,s°-R§
cimetières,sim°tjER,si-m°-tjER
fusilier,fyzilje,fy-zi-lje
poivrés,pwavRe,pwa-vRe
requinqua,R°k5ka,R°-k5-ka
paire,pER,pER
blase,blaz,blaz
sauvât,sova,so-va
ciste,sist,sist
expédieras,EkspediRa,Ek-spe-di-Ra
apportons,apORt§,a-pOR-t§
dissèque,disEk,di-sEk
manoeuvres,man9vR,ma-n9vR
fers,fER,fER
valoches,valOS,va-lOS
abondai,ab§dE,a-b§-dE
remontant,R°m§t@,R°-m§-t@
effondrée,ef§dRe,e-f§-dRe
documentant,dokym@t@,do-ky-m@-t@
brillions,bRij§,bRi-j§
ultra-rapide,yltRaRapid,yl-tRa-Ra-pid
comptabilisés,k§tabilize,k§-ta-bi-li-ze
triomphatrice,tRij§fatRis,tRi-j§-fa-tRis
réservoirs,RezERvwaR,Re-zER-vwaR
amarrage,amaRaZ,a-ma-RaZ
gambadant,g@bad@,g@-ba-d@
spectrométrique,spEktRometRik,spEk-tRo-me-tRik
marchandait,maRS@dE,maR-S@-dE
corpulents,kORpyl@,kOR-py-l@
relevait,R°l°vE,R°-l°-vE
guidiez,gidje,gi-dje
mollement,mOl°m@,mO-l°-m@
éplucha,eplySa,e-ply-Sa
ensellés,@sEle,@-sE-le
vérification,veRifikasj§,ve-Ri-fi-ka-sj§
perquisition,pERkizisj§,pER-ki-zi-sj§
équivoquer,ekivOke,e-ki-vO-ke
suspendît,sysp@di,sys-p@-di
patronages,patRonaZ,pa-tRo-naZ
marées,maRe,ma-Re
endorphines,@dORfin,@-dOR-fin
antiaériennes,@tiaeRjEn,@-ti-a-e-RjEn
taupicide,topisid,to-pi-sid
arrêtât,aREta,a-RE-ta
attroupèrent,atRupER,a-tRu-pER
vert-de-grisé,vERd°gRize,vER-d°-gRi-ze
effilées,efile,e-fi-le
aboiement,abwam@,a-bwa-m@
chasserais,Sas°RE,Sa-s°-RE
vrais,vRE,vRE
tarira,taRiRa,ta-Ri-Ra
conciergerie,k§sjERZ°Ri,k§-sjER-Z°-Ri
mi-farceur,mifaRs9R,mi-faR-s9R
borderiez,bORd°Rje,bOR-d°-Rje
tunnel,tynEl,ty-nEl
décommande,dekom@d,de-ko-m@d
écaillures,ekajyR,e-ka-jyR
lavèrent,lavER,la-vER
ming,miG,miG
bécotés,bekote,be-ko-te
contactez,k§takte,k§-tak-te
goba,goba,go-ba
orléanistes,ORleanist,OR-le-a-nist
ratte,Rat,Rat
handicaper,@dikape,@-di-ka-pe
partiez,paRtje,paR-tje
agrandie,agR@di,a-gR@-di
maquillerais,makij°RE,ma-ki-j°-RE
arnaquent,aRnak,aR-nak
déciderions,desid°Rj§,de-si-d°-Rj§
hauteurs,ot9R,o-t9R
sud-coréenne,sydkoReEn,syd-ko-Re-En
nonnettes,nonEt,no-nEt
prélevez,pRel°ve,pRe-l°-ve
louperez,lup°Re,lu-p°-Re
jonchée,Z§Se,Z§-Se
pleurale,pl2Ral,pl2-Ral
gambillait,g@bijE,g@-bi-jE
endurci,@dyRsi,@-dyR-si
dessoûlent,desul,de-sul
thermonucléaires,tERmonykleER,tER-mo-ny-kle-ER
fertilise,fERtiliz,fER-ti-liz
évaluation,eval8asj§,e-va-l8a-sj§
farads,faRad,fa-Rad
râleuses,Ral2z,Ra-l2z
captant,kapt@,kap-t@
graciera,gRasjERa,gRa-sjE-Ra
baladeur,balad9R,ba-la-d9R
repiqua,R°pika,R°-pi-ka
indigné,5diNe,5-di-Ne
parlait,paRlE,paR-lE
semblablement,s@blabl°m@,s@-bla-bl°-m@
voyagions,vwajaZj§,vwa-ja-Zj§
ecchymosé,ekimoze,e-ki-mo-ze
affectionné,afEksjone,a-fEk-sjo-ne
traduisons,tRad8iz§,tRa-d8i-z§
socialo,sOsjalo,sO-sja-lo
nok,nOk,nOk
revoler,R2vOle,R2-vO-le
calfeutrées,kalf2tRe,kal-f2-tRe
dissertent,disERt,di-sERt
cotonneux,koton2,ko-to-n2
baobabs,baobab,ba-o-bab
calmes,kalm,kalm
sureau,syRo,sy-Ro
azulejo,azulexo,a-zu-le-xo
attestaient,atEstE,a-tEs-tE
nettoyiez,netwajje,ne-twaj-je
recherchent,R°SERS,R°-SERS
dépolissait,depolisE,de-po-li-sE
rumination,Ryminasj§,Ry-mi-na-sj§
demi-fond,d°mif§,d°-mi-f§
priseur,pRiz9R,pRi-z9R
déclins,dekl5,de-kl5
jovial,Zovjal,Zo-vjal
rorqual,RORkal,ROR-kal
consentirais,k§s@tiRE,k§-s@-ti-RE
déconseillerais,dek§sEj°RE,de-k§-sE-j°-RE
crédulités,kRedylite,kRe-dy-li-te
protégerais,pRoteZ°RE,pRo-te-Z°-RE
déplisser,deplise,de-pli-se
essayiste,esejist,e-se-jist
captées,kapte,kap-te
ligaments,ligam@,li-ga-m@
avitaminose,avitaminoz,a-vi-ta-mi-noz
atomiste,atomist,a-to-mist
accoude,akud,a-kud
mouette,mwEt,mwEt
mettrions,mEtRij§,mE-tRi-j§
répliqua,Replika,Re-pli-ka
cravachant,kRavaS@,kRa-va-S@
tchèque,tSEk,tSEk
cuveaux,kyvo,ky-vo
déjoua,deZwa,de-Zwa
gavez,gave,ga-ve
interrogatif,5tERogatif,5-tE-Ro-ga-tif
alizés,alize,a-li-ze
malaisée,maleze,ma-le-ze
bloquaient,blokE,blo-kE
prétoires,pRetwaR,pRe-twaR
huée,8e,8e
amnisties,amnisti,am-nis-ti
reportée,R°pORte,R°-pOR-te
biface,bifas,bi-fas
fusants,fyz@,fy-z@
extirper,EkstiRpe,Ek-stiR-pe
plairait,plERE,plE-RE
somnifères,sOmnifER,sOm-ni-fER
délivrerais,delivR°RE,de-li-vR°-RE
plans,pl@,pl@
soulignée,suliNe,su-li-Ne
ration,Rasj§,Ra-sj§
métallisées,metalize,me-ta-li-ze
nestoriennes,nEstoRjEn,nEs-to-RjEn
rougisse,RuZis,Ru-Zis
envions,@vj§,@-vj§
nomadisent,nomadiz,no-ma-diz
démodulateurs,demodylat9R,de-mo-dy-la-t9R
triquer,tRike,tRi-ke
chleuhs,Sl2,Sl2
apparussent,apaRys,a-pa-Rys
infirme,5fiRm,5-fiRm
furetage,fyR°taZ,fy-R°-taZ
décimalité,desimalite,de-si-ma-li-te
alexie,alEksi,a-lEk-si
incursions,5kyRsj§,5-kyR-sj§
court,kuR,kuR
ingérant,5ZeR@,5-Ze-R@
milieu,milj2,mi-lj2
fronce,fR§s,fR§s
inemployables,in@plwajabl,i-n@p-lwa-jabl
fluence,fly@s,fly-@s
nano,nano,na-no
complimenté,k§plim@te,k§-pli-m@-te
flottera,flOt°Ra,flO-t°-Ra
géantes,Ze@t,Ze-@t
mariés,maRje,ma-Rje
marijuana,maRiRwana,ma-Ri-Rwa-na
derme,dERm,dERm
violeront,vjOl°R§,vjO-l°-R§
distendu,dist@dy,dis-t@-dy
palabrent,palabR,pa-labR
dissimulerait,disimyl°RE,di-si-my-l°-RE
hésitiez,ezitje,e-zi-tje
vannes,van,van
devant,d°v@,d°-v@
eurêka,2REka,2-RE-ka
verlan,vERl@,vER-l@
attouchement,atuS°m@,a-tu-S°-m@
choisis,Swazi,Swa-zi
invariables,5vaRjabl,5-va-Rjabl
idéalisés,idealize,i-de-a-li-ze
arbitrera,aRbitR°Ra,aR-bi-tR°-Ra
arrangés,aR@Ze,a-R@-Ze
inviteras,5vit°Ra,5-vi-t°-Ra
mendicités,m@disite,m@-di-si-te
sosie,sozi,so-zi
indiquent,5dik,5-dik
sioniste,sjonist,sjo-nist
diaphanes,djafan,dja-fan
lacer,lase,la-se
explorions,EksploRj§,Ek-splo-Rj§
ressortiront,R°sORtiR§,R°-sOR-ti-R§
capitales,kapital,ka-pi-tal
fendu,f@dy,f@-dy
comtoise,k§twaz,k§-twaz
décapitât,dekapita,de-ka-pi-ta
supporté,sypORte,sy-pOR-te
chapardées,SapaRde,Sa-paR-de
rabouté,Rabute,Ra-bu-te
cercueil,sERk9j,sER-k9j
amateurisme,amat9Rizm,a-ma-t9-Rizm
contorsionne,k§tORsijOn,k§-tOR-si-jOn
hit-parades,itpaRad,it-pa-Rad
combattue,k§baty,k§-ba-ty
réchauffantes,ReSof@t,Re-So-f@t
assît,asi,a-si
noyée,nwaje,nwa-je
résignées,ReziNe,Re-zi-Ne
ployant,plwaj@,plwa-j@
soumise,sumiz,su-miz
contondant,k§t§d@,k§-t§-d@
achetait,aS°tE,a-S°-tE
fait,fE,fE
propos,pRopo,pRo-po
comédiens,komedj5,ko-me-dj5
baiserez,bEz°Re,bE-z°-Re
abdication,abdikasj§,ab-di-ka-sj§
mi-pleurnichard,mipl9RniSaR,mi-pl9R-ni-SaR
polémiques,polemik,po-le-mik
omicron,omikR§,o-mi-kR§
effleurements,efl9R°m@,e-fl9-R°-m@
chapeauter,Sapote,Sa-po-te
praticables,pRatikabl,pRa-ti-kabl
lustrés,lystRe,lys-tRe
leste,lEst,lEst
comprador,k§pRadOR,k§-pRa-dOR
losangé,loz@Ze,lo-z@-Ze
re-fuse,R°fyz,R°-fyz
originelles,oRiZinEl,o-Ri-Zi-nEl
apparats,apaRa,a-pa-Ra
mucosités,mykozite,my-ko-zi-te
rigolade,Rigolad,Ri-go-lad
suries,syRi,sy-Ri
toccata,tokata,to-ka-ta
paniquais,panikE,pa-ni-kE
expirera,EkspiR°Ra,Ek-spi-R°-Ra
reconnaissait,R°konEsE,R°-ko-nE-sE
chavirée,SaviRe,Sa-vi-Re
morasse,moRas,mo-Ras
vadrouille,vadRuj,va-dRuj
sataner,satane,sa-ta-ne
rudimentaire,Rydim@tER,Ry-di-m@-tER
torturons,tORtyR§,tOR-ty-R§
époumone,epumOn,e-pu-mOn
priait,pRijE,pRi-jE
topette,topEt,to-pEt
tutelle,tytEl,ty-tEl
magasines,magazin,ma-ga-zin
adamique,adamik,a-da-mik
inintelligibles,in5teliZibl,i-n5-te-li-Zibl
défalquées,defalke,de-fal-ke
bureaucratie,byRokRasi,by-Ro-kRa-si
apâli,apali,a-pa-li
électrifiées,elEktRifje,e-lEk-tRi-fje
ameutant,am2t@,a-m2-t@
asseye,asEj,a-sEj
indénombrables,5den§bRabl,5-de-n§-bRabl
sophistes,sofist,so-fist
amphore,@fOR,@-fOR
soufflât,sufla,su-fla
taisent,tEz,tEz
palperai,palp°RE,pal-p°-RE
polymorphismes,polimORfizm,po-li-mOR-fizm
tumeurs,tym9R,ty-m9R
impétrants,5petR@,5-pe-tR@
hurluberlu,yRlybERly,yR-ly-bER-ly
nyctalope,niktalOp,nik-ta-lOp
ballons,bal§,ba-l§
bouffée,bufe,bu-fe
limbes,l5b,l5b
civile,sivil,si-vil
orvet,ORvE,OR-vE
hululant,ylyl@,y-ly-l@
ralliées,Ralje,Ra-lje
habiles,abil,a-bil
merlette,mERlEt,mER-lEt
palmistes,palmist,pal-mist
pointilleuse,pw5tij2z,pw5-ti-j2z
rabibochées,RabiboSe,Ra-bi-bo-Se
lissés,lise,li-se
actuaire,akt8ER,ak-t8ER
cranter,kR@te,kR@-te
amputé,@pyte,@-py-te
récrirai,RekRiRE,Re-kRi-RE
hameaux,amo,a-mo
chanfrein,S@fR5,S@-fR5
bale,bal,bal
vérin,veR5,ve-R5
compassion,k§pasj§,k§-pa-sj§
marinées,maRine,ma-Ri-ne
calculées,kalkyle,kal-ky-le
apitoyèrent,apitwajER,a-pi-twa-jER
roucoulant,Rukul@,Ru-ku-l@
amniocentèse,amnjos5tEz,am-njo-s5-tEz
reprirent,R°pRiR,R°-pRiR
demi-pied,d2mipje,d2-mi-pje
customisé,kystomize,kys-to-mi-ze
rancoeurs,R@k9R,R@-k9R
inciteraient,5sit°RE,5-si-t°-RE
touchante,tuS@t,tu-S@t
sanctuaires,s@kt8ER,s@k-t8ER
allante,al@t,a-l@t
frigorigène,fRigORiZEn,fRi-gO-Ri-ZEn
accueilles,ak9j,a-k9j
préambules,pRe@byl,pRe-@-byl
gymniques,Zimnik,Zim-nik
autobronzant,otobR§z@,o-to-bR§-z@
jaunissant,Zonis@,Zo-ni-s@
embrassèrent,@bRasER,@-bRa-sER
contestez,k§tEste,k§-tEs-te
crottin,kRot5,kRo-t5
patriotardes,patRijotaRd,pa-tRi-jo-taRd
placeront,plas°R§,pla-s°-R§
signasse,siNas,si-Nas
pilotent,pilOt,pi-lOt
torchait,tORSE,tOR-SE
promenâmes,pROm°nam,pRO-m°-nam
démagogie,demagoZi,de-ma-go-Zi
suscité,sysite,sy-si-te
insinuant,5sin8@,5-si-n8@
recommandai,R°kom@dE,R°-ko-m@-dE
paonne,pan,pan
surgît,syRZi,syR-Zi
demandent,d°m@d,d°-m@d
ouïrais,uiRE,u-i-RE
hotus,oty,o-ty
fondement,f§d°m@,f§-d°-m@
malandrin,mal@dR5,ma-l@-dR5
vautreraient,votR°RE,vo-tR°-RE
droites,dRwat,dRwat
historico-culturelle,istoRikokyltyREl,is-to-Ri-ko-kyl-ty-REl
photographièrent,fotogRafjER,fo-to-gRa-fjER
rejoindrions,R°Zw5dRij§,R°-Zw5-dRi-j§
défendriez,def@dRje,de-f@-dRje
tirerez,tiR°Re,ti-R°-Re
déifia,deifja,de-i-fja
endormait,@dORmE,@-dOR-mE
catégorise,kategoRiz,ka-te-go-Riz
mitraillé,mitRaje,mi-tRa-je
raccommoda,Rakomoda,Ra-ko-mo-da
conditionnelles,k§disjonEl,k§-di-sjo-nEl
cramponna,kR@pona,kR@-po-na
renièrent,R°njER,R°-njER
saccades,sakad,sa-kad
relaxe,R°laks,R°-laks
soulevons,sul°v§,su-l°-v§
tétèrent,tetER,te-tER
frottant,fRot@,fRo-t@
hydrophiles,idRofil,i-dRo-fil
sécréteur,sekRet9R,se-kRe-t9R
apporteriez,apORt°Rje,a-pOR-t°-Rje
vissées,vise,vi-se
tannante,tan@t,ta-n@t
machinale,maSinal,ma-Si-nal
emport,@pOR,@-pOR
fulmina,fylmina,fyl-mi-na
pissera,pis°Ra,pi-s°-Ra
gris,gRi,gRi
termines,tERmin,tER-min
renversant,R@vERs@,R@-vER-s@
laiterie,lEt°Ri,lE-t°-Ri
alertèrent,alERtER,a-lER-tER
rimbaldien,R5baldj5,R5-bal-dj5
cui-cui,k8ik8i,k8i-k8i
infos,5fo,5-fo
détiendront,detj5dR§,de-tj5-dR§
retentissant,R°t@tis@,R°-t@-ti-s@
affirmèrent,afiRmER,a-fiR-mER
cruciale,kRysjal,kRy-sjal
guttural,gytyRal,gy-ty-Ral
occidentale,Oksid@tal,Ok-si-d@-tal
rembourseront,R@buRs°R§,R@-buR-s°-R§
dansiez,d@sje,d@-sje
encreurs,@kR9R,@-kR9R
résorba,RezORba,Re-zOR-ba
internats,5tERna,5-tER-na
amplifiait,@plifjE,@-pli-fjE
hum,9m,9m
riant,Rj@,Rj@
hadj,adZ,adZ
analogie,analoZi,a-na-lo-Zi
marseillaise,maRsEjEz,maR-sE-jEz
trémois,tRemwa,tRe-mwa
centièmes,s@tjEm,s@-tjEm
folklo,fOlklo,fOl-klo
tempéré,t@peRe,t@-pe-Re
folasse,folas,fo-las
retrouves,R°tRuv,R°-tRuv
roussissait,RusisE,Ru-si-sE
enquête,@kEt,@-kEt
dispositifs,dispozitif,dis-po-zi-tif
sirdar,siRdaR,siR-daR
affalée,afale,a-fa-le
mi-épaule,miepol,mi-e-pol
adénovirus,adenoviRys,a-de-no-vi-Rys
son,s§,s§
aula,ola,o-la
imprimerie,5pRim°Ri,5-pRi-m°-Ri
rongera,R§Z°Ra,R§-Z°-Ra
étoile,etwal,e-twal
ressaisissaient,R°sezisE,R°-se-zi-sE
souscrit,suskRi,sus-kRi
naïf,naif,na-if
bazookas,bazuka,ba-zu-ka
déprimants,depRim@,de-pRi-m@
notables,notabl,no-tabl
centrant,s@tR@,s@-tR@
rationaliste,Rasjonalist,Ra-sjo-na-list
prélèvement,pRelEv°m@,pRe-lE-v°-m@
dénominatif,denominatif,de-no-mi-na-tif
nihilisme,niilizm,ni-i-lizm
gaviot,gavjo,ga-vjo
joncaille,Z§kaj,Z§-kaj
coagulaient,koagylE,ko-a-gy-lE
bringuebalant,bR5g°bal@,bR5-g°-ba-l@
dommage,domaZ,do-maZ
brunissoir,bRyniswaR,bRy-ni-swaR
dentelé,d@t°le,d@-t°-le
glacials,glasjal,gla-sjal
cents,s@,s@
groupant,gRup@,gRu-p@
abîmes,abim,a-bim
irremplaçable,iR@plasabl,i-R@-pla-sabl
non-lieu,n§lj2,n§-lj2
montagneuses,m§taN2z,m§-ta-N2z
délibérées,delibeRe,de-li-be-Re
informatisé,5fORmatize,5-fOR-ma-ti-ze
encapsulé,@kapsyle,@-kap-sy-le
grondait,gR§dE,gR§-dE
méchantes,meS@t,me-S@t
dignitaires,diNitER,di-Ni-tER
mita,mita,mi-ta
maxiton,maksit§,mak-si-t§
prudent,pRyd@,pRy-d@
sonnet,sonE,so-nE
harkis,aRki,aR-ki
bressans,bREs@,bRE-s@
bloquant,blok@,blo-k@
gâteuse,gat2z,ga-t2z
épateurs,epat9R,e-pa-t9R
présumais,pRezymE,pRe-zy-mE
lingette,l5ZEt,l5-ZEt
dropent,dROp,dROp
noctambulisme,nOkt@bylizm,nOk-t@-by-lizm
bottiné,botine,bo-ti-ne
calvaire,kalvER,kal-vER
besogneux,b2zoN2,b2-zo-N2
élégantes,eleg@t,e-le-g@t
rougeâtres,RuZatR,Ru-ZatR
cessation,sEsasj§,sE-sa-sj§
protège-slip,pROtEZslip,pRO-tEZ-slip
investira,5vEstiRa,5-vEs-ti-Ra
bourrelé,buR°le,bu-R°-le
usufruit,yzyfR8i,y-zyf-R8i
reconnectés,R°konEkte,R°-ko-nEk-te
seuil,s9j,s9j
raidirent,REdiR,RE-diR
reliquaire,R°likER,R°-li-kER
retournez,R°tuRne,R°-tuR-ne
goûterai,gut°RE,gu-t°-RE
nageuse,naZ2z,na-Z2z
contremarches,k§tR°maRS,k§-tR°-maRS
bop,bOp,bOp
semaines,s°mEn,s°-mEn
logiques,loZik,lo-Zik
spirites,spiRit,spi-Rit
bombé,b§be,b§-be
carapate,kaRapat,ka-Ra-pat
emportée,@pORte,@-pOR-te
portent,pORt,pORt
balboa,balboa,bal-bo-a
sprinteurs,spRint9R,spRin-t9R
débaucheur,deboS9R,de-bo-S9R
blindé,bl5de,bl5-de
bougnes,buN,buN
déblaya,debleja,de-ble-ja
consacrerez,k§sakR°Re,k§-sa-kR°-Re
attrayants,atREj@,a-tRE-j@
planifier,planifje,pla-ni-fje
cinquièmes,s5kjEm,s5-kjEm
tricoteur,tRikot9R,tRi-ko-t9R
gesticulant,ZEstikyl@,ZEs-ti-ky-l@
boucliers,buklije,bu-kli-je
débarquées,debaRke,de-baR-ke
tuant,t8@,t8@
détroussez,detRuse,de-tRu-se
sacrées,sakRe,sa-kRe
magouilles,maguj,ma-guj
anti-société,@tisosjete,@-ti-so-sje-te
arachnéenne,aRakneEn,a-Rak-ne-En
jauni,Zoni,Zo-ni
harmonique,aRmonik,aR-mo-nik
poterie,pOt°Ri,pO-t°-Ri
causerai,koz°RE,ko-z°-RE
gracieuse,gRasj2z,gRa-sj2z
marquisats,maRkiza,maR-ki-za
opératoires,opeRatwaR,o-pe-Ra-twaR
omettiez,omEtje,o-mE-tje
aveugler,av9gle,a-v9-gle
jouteur,Zut9R,Zu-t9R
franchisée,fR@Size,fR@-Si-ze
privé,pRive,pRi-ve
palpa,palpa,pal-pa
risquées,Riske,Ris-ke
débranchés,debR@Se,de-bR@-Se
corrigeaient,koRiZE,ko-Ri-ZE
cantonnèrent,k@tonER,k@-to-nER
oraux,oRo,o-Ro
consistant,k§sist@,k§-sis-t@
calot,kalo,ka-lo
canoës,kanoe,ka-no-e
frugalité,fRygalite,fRy-ga-li-te
aviser,avize,a-vi-ze
buller,byle,by-le
remercieront,R°mERsiR§,R°-mER-si-R§
ph,peaS,pe-aS
venir,v°niR,v°-niR
laminer,lamine,la-mi-ne
conciliaires,k§siljER,k§-si-ljER
endiablée,@djable,@-dja-ble
souffert,sufER,su-fER
déplacée,deplase,de-pla-se
tibétain,tibet5,ti-be-t5
glande,gl@d,gl@d
inexorabilité,inEgzoRabilite,i-nEg-zo-Ra-bi-li-te
effaçai,efasE,e-fa-sE
retransformera,R2tR@sfORm°Ra,R2-tR@s-fOR-m°-Ra
pendant,p@d@,p@-d@
récent,Res@,Re-s@
mezza voce,mEdzavotSe,mEd-za-vot-Se
fifrelin,fifR°l5,fi-fR°-l5
pronostiquiez,pRonOstikje,pRo-nOs-ti-kje
obtempérez,Opt@peRe,Op-t@-pe-Re
stimulez,stimyle,sti-my-le
bannir,baniR,ba-niR
goûterait,gut°RE,gu-t°-RE
veloutée,v°lute,v°-lu-te
cravatait,kRavatE,kRa-va-tE
texans,tEks@,tEk-s@
colorez,koloRe,ko-lo-Re
désertés,dezERte,de-zER-te
mégoter,megote,me-go-te
escaladés,Eskalade,Es-ka-la-de
portique,pORtik,pOR-tik
mélancoliques,mel@kolik,me-l@-ko-lik
brisés,bRize,bRi-ze
traceurs,tRas9R,tRa-s9R
parasité,paRazite,pa-Ra-zi-te
basculante,baskyl@t,bas-ky-l@t
anticléricale,@tikleRikal,@-ti-kle-Ri-kal
disposais,dispozE,dis-po-zE
institutionnalisé,5stitysjonalize,5s-ti-ty-sjo-na-li-ze
pylorique,piloRik,pi-lo-Rik
minouche,minuS,mi-nuS
conseils,k§sEj,k§-sEj
sénatoriales,senatoRjal,se-na-to-Rjal
hallucinatoires,alysinatwaR,a-ly-si-na-twaR
finasserie,finas°Ri,fi-na-s°-Ri
suturé,sytyRe,sy-ty-Re
mâcherez,maS°Re,ma-S°-Re
aides-soignants,EdswaN@,Ed-swa-N@
tailloir,tajwaR,taj-waR
sauce,sos,sos
malices,malis,ma-lis
riz,Ri,Ri
décomposable,dek§pozabl,de-k§-po-zabl
troussèrent,tRusER,tRu-sER
extraterrestres,EkstRatEREstR,Ek-stRa-tE-REstR
baisais,bEzE,bE-zE
bataillons,bataj§,ba-ta-j§
garrottée,gaRote,ga-Ro-te
manigancent,manig@s,ma-ni-g@s
accoster,akOste,a-kOs-te
indisponibilité,5disponibilite,5-dis-po-ni-bi-li-te
cavaleur,kaval9R,ka-va-l9R
salive,saliv,sa-liv
surgissaient,syRZisE,syR-Zi-sE
chape,Sap,Sap
madrés,madRe,ma-dRe
propulsif,pROpylsif,pRO-pyl-sif
bruyères,bR8ijER,bR8i-jER
sternum,stERnOm,stER-nOm
conteras,k§t°Ra,k§-t°-Ra
escomptées,Esk§te,Es-k§-te
hébétées,ebete,e-be-te
arrimer,aRime,a-Ri-me
enlacement,@las°m@,@-la-s°-m@
ramasseuse,Ramas2z,Ra-ma-s2z
loubard,lubaR,lu-baR
abrutissais,abRytisE,a-bRy-ti-sE
croissants,kRwas@,kRwa-s@
